Country Name,Country Code,Year,Population,organization_name,region,income_group,total_gdp,total_gdp_million,gdp_variation
Heavily indebted poor countries (HIPC),HPC,1960,161734348.0,PAÍSES POBRES MUY ENDEUDADOS (PPME),NO DATA,AGREGADOS,21764253547.1734,21764.2535471734,0.0
IBRD only,IBD,1960,1919643259.0,SÓLO BIRF,NO DATA,AGREGADOS,317482813174.277,317482.81317427696,0.0
IDA & IBRD total,IBT,1960,2299245319.0,BIRF Y LA AIF,NO DATA,AGREGADOS,361892242003.14,361892.24200314,0.0
IDA total,IDA,1960,379602060.0,TOTAL DE LA AIF,NO DATA,AGREGADOS,43246282845.0915,43246.2828450915,0.0
IDA blend,IDB,1960,120391642.0,MEZCLA DE LA AIF,NO DATA,AGREGADOS,11879974957.7978,11879.9749577978,0.0
IDA only,IDX,1960,259210418.0,SÓLO AIF,NO DATA,AGREGADOS,32343504360.8959,32343.504360895902,0.0
Latin America & Caribbean (excluding high income),LAC,1960,195990480.0,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,68130522456.4681,68130.5224564681,0.0
Latin America & Caribbean,LCN,1960,219828794.0,AMÉRICA LATINA Y EL CARIBE,NO DATA,AGREGADOS,84329838400.4279,84329.8384004279,0.0
Least developed countries: UN classification,LDC,1960,240454708.0,PAÍSES MENOS DESARROLLADOS: CLASIFICACIÓN DE LAS NACIONES UNIDAS,NO DATA,AGREGADOS,28148829117.5064,28148.8291175064,0.0
Low income,LIC,1960,140853136.0,PAÍSES DE INGRESO BAJO,NO DATA,AGREGADOS,14591716825.8757,14591.7168258757,0.0
Lower middle income,LMC,1960,988626091.0,PAÍSES DE INGRESO MEDIANO BAJO,NO DATA,AGREGADOS,85185625016.4477,85185.6250164477,0.0
Low & middle income,LMY,1960,2244700479.0,INGRESO MEDIANO Y BAJO,NO DATA,AGREGADOS,276980151259.582,276980.151259582,0.0
Late-demographic dividend,LTE,1960,1096903448.0,AVANZADA DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,183039562224.255,183039.562224255,0.0
Middle East & North Africa,MEA,1960,105203230.0,ORIENTE MEDIO Y NORTE DE ÁFRICA,NO DATA,AGREGADOS,25169910581.9324,25169.9105819324,0.0
Middle income,MIC,1960,2103847343.0, INGRESO MEDIANO,NO DATA,AGREGADOS,263792074041.094,263792.074041094,0.0
Middle East & North Africa (excluding high income),MNA,1960,97553136.0,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,18009066976.6514,18009.0669766514,0.0
North America,NAC,1960,198624409.0,AMÉRICA DEL NORTE,NO DATA,AGREGADOS,582624755153.847,582624.755153847,0.0
OECD members,OED,1960,809413164.0,MIEMBROS OCDE,NO DATA,AGREGADOS,1061139061863.14,1061139.06186314,0.0
Other small states,OSS,1960,9151857.0,OTROS ESTADOS PEQUEOS,NO DATA,AGREGADOS,0.0,0.0,0.0
Pre-demographic dividend,PRE,1960,187617086.0,PREVIA AL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,24374805009.0909,24374.805009090906,0.0
Pacific island small states,PSS,1960,865064.0,ESTADOS PEQUEOS DE LAS ISLAS DEL PACFICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Post-demographic dividend,PST,1960,755229793.0,POSTERIOR AL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,1036595543314.38,1036595.54331438,0.0
South Asia,SAS,1960,572839530.0,ASIA MERIDIONAL,NO DATA,AGREGADOS,47274328378.8543,47274.32837885431,0.0
Sub-Saharan Africa (excluding high income),SSA,1960,227191484.0,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,35988399588.8194,35988.3995888194,0.0
Sub-Saharan Africa,SSF,1960,227233184.0,ÁFRICA AL SUR DEL SAHARA,NO DATA,AGREGADOS,35999878594.0433,35999.87859404329,0.0
Small states,SST,1960,14211632.0,PEQUEÑOS ESTADOS,NO DATA,AGREGADOS,0.0,0.0,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,1960,883445587.0,ASIA ORIENTAL Y EL PACÍFICO (BIRF Y LA AIF),NO DATA,AGREGADOS,80669679176.8241,80669.6791768241,0.0
Europe & Central Asia (IDA & IBRD countries),TEC,1960,308424859.0,EUROPA Y ASIA CENTRAL (BIRF Y LA AIF),NO DATA,AGREGADOS,0.0,0.0,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,209749023.0,AMÉRICA LATINA Y EL CARIBE (BIRF Y LA AIF),NO DATA,AGREGADOS,79359156748.2322,79359.1567482322,0.0
Middle East & North Africa (IDA & IBRD countries),TMN,1960,97553136.0,ORIENTE MEDIO Y NORTE DE ÁFRICA (BIRF Y LA AIF),NO DATA,AGREGADOS,17842510180.4703,17842.510180470297,0.0
South Asia (IDA & IBRD),TSA,1960,572839530.0,ASIA MERIDIONAL (BIRF Y LA AIF),NO DATA,AGREGADOS,47274328378.8543,47274.32837885431,0.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,227233184.0,ÁFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),NO DATA,AGREGADOS,35999878594.0433,35999.87859404329,0.0
Upper middle income,UMC,1960,1115221252.0,INGRESO MEDIANO ALTO,NO DATA,AGREGADOS,179283983325.458,179283.98332545802,0.0
World,WLD,1960,3032156070.0,MUNDO,NO DATA,AGREGADOS,1371947205151.18,1371947.20515118,0.0
Kosovo,XKX,1960,947000.0,KOSOVO,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),INGRESO MEDIANO ALTO,0.0,0.0,0.0
Arab World,ARB,1961,94724540.0,EL MUNDO ÁRABE,NO DATA,AGREGADOS,19997084153.9204,19997.0841539204,0.0
Central Europe and the Baltics,CEB,1961,92232738.0,EUROPA CENTRAL Y DEL BÁLTICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Channel Islands,CHI,1961,110398.0,ISLAS DEL CANAL,NO DATA,INGRESO ALTO,0.0,0.0,0.0
Caribbean small states,CSS,1961,4274052.0,ESTADOS PEQUEOS DEL CARIBE,NO DATA,AGREGADOS,699601326.176699,699.601326176699,7.38699393186913
East Asia & Pacific (excluding high income),EAP,1961,894489549.0,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,71139478707.1349,71139.4787071349,-13.3282852326933
Early-demographic dividend,EAR,1961,1003194972.0,INICIAL DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,161302482593.386,161302.482593386,4.78923515831704
East Asia & Pacific,EAS,1961,1043656626.0,ASIA ORIENTAL Y EL PACÍFICO,NO DATA,AGREGADOS,158406594384.514,158406.594384514,3.83722221884879
Europe & Central Asia (excluding high income),ECA,1961,260376316.0,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,0.0,0.0,0.0
Europe & Central Asia,ECS,1961,674450666.0,EUROPA Y ASIA CENTRAL,NO DATA,AGREGADOS,469110075856.153,469110.075856153,5.17878245868306
Euro area,EMU,1961,267621091.0,ZONA DEL EURO,NO DATA,AGREGADOS,279722204488.921,279722.20448892104,5.71592492045608
European Union,EUU,1961,359998408.0,UNIÓN EUROPEA,NO DATA,AGREGADOS,316579871854.423,316579.87185442296,5.72567473415064
Fragile and conflict affected situations,FCS,1961,250274396.0,FRÁGILES Y SITUACIONES DE CONFLICTO AFECTADOS,NO DATA,AGREGADOS,35668456087.2839,35668.4560872839,-0.178687888097613
High income,HIC,1961,789211684.0,INGRESO ALTO,NO DATA,AGREGADOS,1165197112448.35,1165197.11244835,4.46186821557914
Heavily indebted poor countries (HIPC),HPC,1961,165573136.0,PAÍSES POBRES MUY ENDEUDADOS (PPME),NO DATA,AGREGADOS,22459725995.3549,22459.7259953549,-0.144227410362063
IBRD only,IBD,1961,1940356959.0,SÓLO BIRF,NO DATA,AGREGADOS,314825492753.68,314825.49275368,1.1810682431075
IDA & IBRD total,IBT,1961,2329154652.0,BIRF Y LA AIF,NO DATA,AGREGADOS,362462403613.599,362462.403613599,1.18418657965711
IDA total,IDA,1961,388797693.0,TOTAL DE LA AIF,NO DATA,AGREGADOS,45696271473.9688,45696.2714739688,1.20178789742114
IDA blend,IDB,1961,123270998.0,MEZCLA DE LA AIF,NO DATA,AGREGADOS,12720578451.4747,12720.5784514747,1.39524820672045
IDA only,IDX,1961,265526695.0,SÓLO AIF,NO DATA,AGREGADOS,33970460024.7388,33970.4600247388,0.0
Latin America & Caribbean (excluding high income),LAC,1961,201468291.0,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,71345935570.5127,71345.9355705127,6.16268144127032
Latin America & Caribbean,LCN,1961,225912719.0,AMÉRICA LATINA Y EL CARIBE,NO DATA,AGREGADOS,89709981773.9291,89709.98177392909,6.13385516921754
Least developed countries: UN classification,LDC,1961,246047924.0,PAÍSES MENOS DESARROLLADOS: CLASIFICACIÓN DE LAS NACIONES UNIDAS,NO DATA,AGREGADOS,29432612773.9067,29432.6127739067,0.0
Low income,LIC,1961,144012757.0,PAÍSES DE INGRESO BAJO,NO DATA,AGREGADOS,14789797831.6894,14789.7978316894,0.0
Lower middle income,LMC,1961,1011300866.0,PAÍSES DE INGRESO MEDIANO BAJO,NO DATA,AGREGADOS,90809724342.6027,90809.72434260273,3.26768673141345
Low & middle income,LMY,1961,2273945110.0,INGRESO MEDIANO Y BAJO,NO DATA,AGREGADOS,275467988962.025,275467.98896202503,1.03191016890733
Late-demographic dividend,LTE,1961,1099284940.0,AVANZADA DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,170099892398.301,170099.892398301,-3.63106112404881
Middle East & North Africa,MEA,1961,108061826.0,ORIENTE MEDIO Y NORTE DE ÁFRICA,NO DATA,AGREGADOS,26730873312.6987,26730.8733126987,6.16830049617758
Middle income,MIC,1961,2129932353.0, INGRESO MEDIANO,NO DATA,AGREGADOS,262100046400.545,262100.04640054505,1.16835707536418
Middle East & North Africa (excluding high income),MNA,1961,100147125.0,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,18550938512.682,18550.938512682,3.36870916476452
North America,NAC,1961,202007500.0,AMÉRICA DEL NORTE,NO DATA,AGREGADOS,603055003182.732,603055.003182732,2.36540607237986
OECD members,OED,1961,820690358.0,MIEMBROS OCDE,NO DATA,AGREGADOS,1131592693045.78,1131592.69304578,4.3992810931061
Other small states,OSS,1961,9315834.0,OTROS ESTADOS PEQUEOS,NO DATA,AGREGADOS,0.0,0.0,0.0
Pre-demographic dividend,PRE,1961,191889668.0,PREVIA AL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,25267764846.1585,25267.7648461585,-0.289597629058591
Pacific island small states,PSS,1961,893394.0,ESTADOS PEQUEOS DE LAS ISLAS DEL PACFICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Post-demographic dividend,PST,1961,764423461.0,POSTERIOR AL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,1104130301310.45,1104130.3013104498,4.39905159707405
South Asia,SAS,1961,584939711.0,ASIA MERIDIONAL,NO DATA,AGREGADOS,50467431650.1184,50467.4316501184,4.21382710225254
Sub-Saharan Africa (excluding high income),SSA,1961,232524118.0,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,37518094290.3319,37518.0942903319,1.10645546260272
Sub-Saharan Africa,SSF,1961,232567007.0,ÁFRICA AL SUR DEL SAHARA,NO DATA,AGREGADOS,37529010103.7958,37529.0101037958,1.10300956711436
Small states,SST,1961,14483280.0,PEQUEÑOS ESTADOS,NO DATA,AGREGADOS,0.0,0.0,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,1961,882807979.0,ASIA ORIENTAL Y EL PACÍFICO (BIRF Y LA AIF),NO DATA,AGREGADOS,71066638102.6938,71066.6381026938,-13.3282852326933
Europe & Central Asia (IDA & IBRD countries),TEC,1961,313062858.0,EUROPA Y ASIA CENTRAL (BIRF Y LA AIF),NO DATA,AGREGADOS,0.0,0.0,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,215629972.0,AMÉRICA LATINA Y EL CARIBE (BIRF Y LA AIF),NO DATA,AGREGADOS,84319336310.137,84319.33631013699,6.09796495394804
Middle East & North Africa (IDA & IBRD countries),TMN,1961,100147125.0,ORIENTE MEDIO Y NORTE DE ÁFRICA (BIRF Y LA AIF),NO DATA,AGREGADOS,18379370219.3978,18379.3702193978,3.36870916476452
South Asia (IDA & IBRD),TSA,1961,584939711.0,ASIA MERIDIONAL (BIRF Y LA AIF),NO DATA,AGREGADOS,50467431650.1184,50467.4316501184,4.21382710225254
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,232567007.0,ÁFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),NO DATA,AGREGADOS,37529010103.7958,37529.0101037958,1.10300956711436
Upper middle income,UMC,1961,1118631487.0,INGRESO MEDIANO ALTO,NO DATA,AGREGADOS,170671429477.285,170671.429477285,0.434841823685744
World,WLD,1961,3071596055.0,MUNDO,NO DATA,AGREGADOS,1445950587026.22,1445950.58702622,3.96344237616626
Kosovo,XKX,1961,966000.0,KOSOVO,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),INGRESO MEDIANO ALTO,0.0,0.0,0.0
Arab World,ARB,1962,97334438.0,EL MUNDO ÁRABE,NO DATA,AGREGADOS,20327670691.7473,20327.6706917473,0.0
Central Europe and the Baltics,CEB,1962,93009498.0,EUROPA CENTRAL Y DEL BÁLTICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Channel Islands,CHI,1962,111464.0,ISLAS DEL CANAL,NO DATA,INGRESO ALTO,0.0,0.0,0.0
Caribbean small states,CSS,1962,4353623.0,ESTADOS PEQUEOS DEL CARIBE,NO DATA,AGREGADOS,750604794.623785,750.604794623785,6.76506591429495
East Asia & Pacific (excluding high income),EAP,1962,906424232.0,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,64884938431.8407,64884.938431840696,-0.640292703302507
Early-demographic dividend,EAR,1962,1027204700.0,INICIAL DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,165738639752.642,165738.639752642,4.02545375593913
East Asia & Pacific,EAS,1962,1058119847.0,ASIA ORIENTAL Y EL PACÍFICO,NO DATA,AGREGADOS,162133212500.345,162133.212500345,5.44986417796001
Europe & Central Asia (excluding high income),ECA,1962,264562393.0,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,0.0,0.0,0.0
Europe & Central Asia,ECS,1962,682397828.0,EUROPA Y ASIA CENTRAL,NO DATA,AGREGADOS,513039887672.594,513039.887672594,4.70482189560035
Euro area,EMU,1962,270110063.0,ZONA DEL EURO,NO DATA,AGREGADOS,309382572881.59,309382.57288159005,5.76237297276354
European Union,EUU,1962,363200480.0,UNIÓN EUROPEA,NO DATA,AGREGADOS,349909662392.141,349909.662392141,5.69572908096376
Fragile and conflict affected situations,FCS,1962,255615131.0,FRÁGILES Y SITUACIONES DE CONFLICTO AFECTADOS,NO DATA,AGREGADOS,39417208511.7769,39417.2085117769,7.89280743235277
High income,HIC,1962,799334016.0,INGRESO ALTO,NO DATA,AGREGADOS,1260147954624.25,1260147.95462425,5.60757672824164
Heavily indebted poor countries (HIPC),HPC,1962,169567052.0,PAÍSES POBRES MUY ENDEUDADOS (PPME),NO DATA,AGREGADOS,24435087668.3335,24435.0876683335,7.22902479498215
IBRD only,IBD,1962,1974018983.0,SÓLO BIRF,NO DATA,AGREGADOS,322057205168.551,322057.205168551,3.11471992716979
IDA & IBRD total,IBT,1962,2372380699.0,BIRF Y LA AIF,NO DATA,AGREGADOS,373895791767.962,373895.791767962,3.55547586005167
IDA total,IDA,1962,398361716.0,TOTAL DE LA AIF,NO DATA,AGREGADOS,49174101280.0693,49174.1012800693,5.92327679336439
IDA blend,IDB,1962,126289838.0,MEZCLA DE LA AIF,NO DATA,AGREGADOS,13604070957.801,13604.070957801,4.35914649542556
IDA only,IDX,1962,272071878.0,SÓLO AIF,NO DATA,AGREGADOS,36658956625.1644,36658.9566251644,7.14224832109957
Latin America & Caribbean (excluding high income),LAC,1962,207117533.0,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,77595201159.5018,77595.2011595018,4.34556298272449
Latin America & Caribbean,LCN,1962,232183258.0,AMÉRICA LATINA Y EL CARIBE,NO DATA,AGREGADOS,98261282126.6901,98261.2821266901,4.31416822217309
Least developed countries: UN classification,LDC,1962,251832862.0,PAÍSES MENOS DESARROLLADOS: CLASIFICACIÓN DE LAS NACIONES UNIDAS,NO DATA,AGREGADOS,31868585551.1676,31868.5855511676,7.4802431906231
Low income,LIC,1962,147251680.0,PAÍSES DE INGRESO BAJO,NO DATA,AGREGADOS,16516574417.9939,16516.5744179939,0.0
Lower middle income,LMC,1962,1034742138.0,PAÍSES DE INGRESO MEDIANO BAJO,NO DATA,AGREGADOS,92221724755.3395,92221.7247553395,3.78831644412192
Low & middle income,LMY,1962,2316484209.0,INGRESO MEDIANO Y BAJO,NO DATA,AGREGADOS,282503517974.814,282503.51797481405,3.59213998308616
Late-demographic dividend,LTE,1962,1113927919.0,AVANZADA DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,173284405279.324,173284.405279324,2.96854550737615
Middle East & North Africa,MEA,1962,111045418.0,ORIENTE MEDIO Y NORTE DE ÁFRICA,NO DATA,AGREGADOS,26352479345.5813,26352.479345581294,5.41562336147148
Middle income,MIC,1962,2169232529.0, INGRESO MEDIANO,NO DATA,AGREGADOS,267576849076.902,267576.849076902,3.30872272868672
Middle East & North Africa (excluding high income),MNA,1962,102808039.0,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,18760297827.3751,18760.2978273751,2.3115765317791
North America,NAC,1962,205198600.0,AMÉRICA DEL NORTE,NO DATA,AGREGADOS,646056325348.93,646056.3253489301,6.19895367556738
OECD members,OED,1962,832204126.0,MIEMBROS OCDE,NO DATA,AGREGADOS,1223654398321.52,1223654.39832152,5.55151774553437
Other small states,OSS,1962,9485194.0,OTROS ESTADOS PEQUEOS,NO DATA,AGREGADOS,0.0,0.0,0.0
Pre-demographic dividend,PRE,1962,196349130.0,PREVIA AL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,27678330205.0258,27678.3302050258,6.13025890328072
Pacific island small states,PSS,1962,923320.0,ESTADOS PEQUEOS DE LAS ISLAS DEL PACFICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Post-demographic dividend,PST,1962,773856028.0,POSTERIOR AL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,1194534299892.05,1194534.29989205,5.5825408645678
South Asia,SAS,1962,597494450.0,ASIA MERIDIONAL,NO DATA,AGREGADOS,53905757720.8105,53905.7577208105,3.40798670593149
Sub-Saharan Africa (excluding high income),SSA,1962,238077562.0,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,40549575981.7617,40549.5759817617,6.00825241762664
Sub-Saharan Africa,SSF,1962,238121604.0,ÁFRICA AL SUR DEL SAHARA,NO DATA,AGREGADOS,40561501231.8664,40561.5012318664,6.0095173318627
Small states,SST,1962,14762137.0,PEQUEÑOS ESTADOS,NO DATA,AGREGADOS,0.0,0.0,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,1962,894536202.0,ASIA ORIENTAL Y EL PACÍFICO (BIRF Y LA AIF),NO DATA,AGREGADOS,64818501929.6285,64818.5019296285,-0.640292703302507
Europe & Central Asia (IDA & IBRD countries),TEC,1962,317744155.0,EUROPA Y ASIA CENTRAL (BIRF Y LA AIF),NO DATA,AGREGADOS,0.0,0.0,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,221676249.0,AMÉRICA LATINA Y EL CARIBE (BIRF Y LA AIF),NO DATA,AGREGADOS,92280330980.7195,92280.3309807195,4.20048977670345
Middle East & North Africa (IDA & IBRD countries),TMN,1962,102808039.0,ORIENTE MEDIO Y NORTE DE ÁFRICA (BIRF Y LA AIF),NO DATA,AGREGADOS,18586793275.1636,18586.7932751636,2.3115765317791
South Asia (IDA & IBRD),TSA,1962,597494450.0,ASIA MERIDIONAL (BIRF Y LA AIF),NO DATA,AGREGADOS,53905757720.8105,53905.7577208105,3.40798670593149
Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,238121604.0,ÁFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),NO DATA,AGREGADOS,40561501231.8665,40561.5012318665,6.0095173318627
Upper middle income,UMC,1962,1134490391.0,INGRESO MEDIANO ALTO,NO DATA,AGREGADOS,174832411101.594,174832.411101594,3.130189548441
World,WLD,1962,3124561005.0,MUNDO,NO DATA,AGREGADOS,1550597670600.03,1550597.67060003,5.32018256782676
Kosovo,XKX,1962,994000.0,KOSOVO,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),INGRESO MEDIANO ALTO,0.0,0.0,0.0
Arab World,ARB,1963,100034191.0,EL MUNDO ÁRABE,NO DATA,AGREGADOS,22362957617.8194,22362.9576178194,0.0
Central Europe and the Baltics,CEB,1963,93840016.0,EUROPA CENTRAL Y DEL BÁLTICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Channel Islands,CHI,1963,112591.0,ISLAS DEL CANAL,NO DATA,INGRESO ALTO,0.0,0.0,0.0
Caribbean small states,CSS,1963,4432240.0,ESTADOS PEQUEOS DEL CARIBE,NO DATA,AGREGADOS,782562091.670508,782.562091670508,0.483418278871397
East Asia & Pacific (excluding high income),EAP,1963,929645285.0,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,70180391290.8683,70180.3912908683,6.43942142645638
Early-demographic dividend,EAR,1963,1051972834.0,INICIAL DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,175832421253.226,175832.421253226,5.31679112706054
East Asia & Pacific,EAS,1963,1083884354.0,ASIA ORIENTAL Y EL PACÍFICO,NO DATA,AGREGADOS,180953395655.592,180953.395655592,7.76387934577861
Europe & Central Asia (excluding high income),ECA,1963,268766831.0,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,0.0,0.0,0.0
Europe & Central Asia,ECS,1963,690411692.0,EUROPA Y ASIA CENTRAL,NO DATA,AGREGADOS,561049368761.041,561049.368761041,4.86959737099282
Euro area,EMU,1963,272655396.0,ZONA DEL EURO,NO DATA,AGREGADOS,340512613271.49,340512.61327149,4.89263804175357
European Union,EUU,1963,366516509.0,UNIÓN EUROPEA,NO DATA,AGREGADOS,384453227477.224,384453.227477224,4.7968747169606
Fragile and conflict affected situations,FCS,1963,261136143.0,FRÁGILES Y SITUACIONES DE CONFLICTO AFECTADOS,NO DATA,AGREGADOS,45049610945.4602,45049.6109454602,6.47684096604873
High income,HIC,1963,809385030.0,INGRESO ALTO,NO DATA,AGREGADOS,1355500731280.34,1355500.73128034,5.05019711535479
Heavily indebted poor countries (HIPC),HPC,1963,173722891.0,PAÍSES POBRES MUY ENDEUDADOS (PPME),NO DATA,AGREGADOS,28732775854.2691,28732.7758542691,3.39226539639685
IBRD only,IBD,1963,2019553695.0,SÓLO BIRF,NO DATA,AGREGADOS,345780566614.32,345780.56661432004,4.7324347152372
IDA & IBRD total,IBT,1963,2427869417.0,BIRF Y LA AIF,NO DATA,AGREGADOS,403277117805.73,403277.11780573,4.75519140867402
IDA total,IDA,1963,408315722.0,TOTAL DE LA AIF,NO DATA,AGREGADOS,54379384508.1755,54379.3845081755,4.87420195218714
IDA blend,IDB,1963,129443834.0,MEZCLA DE LA AIF,NO DATA,AGREGADOS,14407334836.9007,14407.3348369007,7.93827608968761
IDA only,IDX,1963,278871888.0,SÓLO AIF,NO DATA,AGREGADOS,41315052548.2885,41315.0525482885,2.54830930797725
Latin America & Caribbean (excluding high income),LAC,1963,212913161.0,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,78213093937.1732,78213.09393717321,1.75931573419174
Latin America & Caribbean,LCN,1963,238612680.0,AMÉRICA LATINA Y EL CARIBE,NO DATA,AGREGADOS,99893385581.1464,99893.3855811464,2.08354483594502
Least developed countries: UN classification,LDC,1963,257838094.0,PAÍSES MENOS DESARROLLADOS: CLASIFICACIÓN DE LAS NACIONES UNIDAS,NO DATA,AGREGADOS,36603859244.393,36603.859244393,2.03908637292731
Low income,LIC,1963,150606788.0,PAÍSES DE INGRESO BAJO,NO DATA,AGREGADOS,20520875295.1602,20520.8752951602,0.0
Lower middle income,LMC,1963,1058918092.0,PAÍSES DE INGRESO MEDIANO BAJO,NO DATA,AGREGADOS,102043253078.235,102043.253078235,6.10748606355924
Low & middle income,LMY,1963,2371218025.0,INGRESO MEDIANO Y BAJO,NO DATA,AGREGADOS,305484021729.761,305484.021729761,4.80322066141039
Late-demographic dividend,LTE,1963,1139889997.0,AVANZADA DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,189118211842.893,189118.211842893,4.12980757401391
Middle East & North Africa,MEA,1963,114101578.0,ORIENTE MEDIO Y NORTE DE ÁFRICA,NO DATA,AGREGADOS,29171558729.2821,29171.5587292821,10.8091315447482
